year,category,state,pledge_total,pledge_avg,goal_total,goal_avg,count,backers
2015,Film & Video,successful,53981204.25,17698.75549,41889254,13734.18164,3050,547419
2015,Food,canceled,387643.33,636.5243514,48344907.28,79384.0842,609,3839
2015,Food,failed,3655779.09,836.7541978,339968016,77813.691,4369,39269
2015,Food,successful,21266009.11,17945.99925,14979899.04,12641.26501,1185,208015
2015,Games,canceled,4871876.54,3352.97766,119893328.2,82514.33458,1453,81882
2015,Games,failed,5847012.87,1620.568977,326062679.6,90372.13958,3608,119593
2015,Games,successful,133641422.6,59185.74961,34005512.49,15060.01439,2258,2047110
2015,Journalism,canceled,29816.24,189.9123567,5123629.83,32634.5849,157,632
2015,Journalism,failed,372649.62,357.6291939,76632093.45,73543.27586,1042,5606
2015,Journalism,successful,2507437.66,9833.088863,1964163.82,7702.603216,255,37239
2015,Music,canceled,472553.61,753.6740191,14192934.27,22636.2588,627,6235
2015,Music,failed,1979879.68,528.1087437,140006621.3,37345.05768,3749,26952
2015,Music,successful,23179517.98,8613.719056,18135384.53,6739.27333,2691,293615
2015,Photography,canceled,56152.43,240.9975536,3866045.59,16592.47034,233,896
2015,Photography,failed,650468,453.9204466,24505623.55,17100.92362,1433,8827
2015,Photography,successful,6319556.67,11511.03219,3864144.85,7038.515209,549,62971
2015,Publishing,canceled,294884.44,401.7499183,27142468.74,36978.84025,734,4696
2015,Publishing,failed,2388772.41,545.5063736,140962131.9,32190.48456,4379,36837
2015,Publishing,successful,19373758.95,9909.851125,12215172.41,6248.170031,1955,310613
2015,Technology,canceled,6995452.87,4742.679912,261410771.2,177227.6415,1475,52795
2015,Technology,failed,12212924.59,1877.755933,1035237152,159169.3039,6504,102426
2015,Technology,successful,137154243,85775.01123,41533875.24,25974.90634,1599,1077705
2015,Theater,canceled,49404.63,466.0814151,7720825.15,72837.97311,106,579
2015,Theater,failed,488796.73,719.8773638,73158276.07,107744.1474,679,5721
2015,Theater,successful,5567677.43,6158.93521,4619779.1,5110.375111,904,58020
2016,Art,canceled,190628.24,541.5575,28115017.18,79872.2079,352,2614
2016,Art,failed,1139366.13,584.2903231,169192590.6,86765.43109,1950,16753
2016,Art,successful,11905464.87,9172.160917,6689037.45,5153.341641,1298,129089
2016,Comics,canceled,163404.06,955.5792982,2832581.97,16564.80684,171,3630
2016,Comics,failed,514396.49,841.8927823,6176545.19,10108.91193,611,12714
2016,Comics,successful,11812620.69,10827.33335,5614644.22,5146.328341,1091,250543
2016,Crafts,canceled,149080.3,706.5417062,3577145.62,16953.29678,211,2545
2016,Crafts,failed,424870.39,356.4348909,13055351.1,10952.47576,1192,7579
2016,Crafts,successful,3129451.54,7689.070123,1455495.05,3576.154914,407,55762
2016,Dance,canceled,11394.27,517.9213636,2655107.44,120686.7018,22,206
2016,Dance,failed,57856.18,373.2656774,2952910.11,19051.03297,155,918
2016,Dance,successful,1649952.78,6321.658161,1465953.93,5616.681724,261,18103
2016,Design,canceled,5259958.28,5754.877768,49605770.2,54273.27155,914,42808
2016,Design,failed,8527275.5,2981.56486,228017567.3,79726.42213,2860,90343
2016,Design,successful,161978055.1,76081.75439,36321914.34,17060.55159,2129,1518274
2016,Fashion,canceled,864593.65,1653.142734,19589497.04,37456.01728,523,7727
2016,Fashion,failed,2520959.37,920.7302301,56590031.79,20668.38268,2738,27108
2016,Fashion,successful,24325741.83,25471.98097,10212256.35,10693.46215,955,227377
2016,Film & Video,canceled,1224379.59,1540.100113,216968023.8,272915.7532,795,11632
2016,Film & Video,failed,5353440.66,1428.345961,649049600.6,173172.252,3748,58079
2016,Film & Video,successful,34272229.87,14185.52561,27529866.57,11394.81232,2416,358560
2016,Food,canceled,331938.54,817.5826108,25346860.26,62430.6903,406,2760
2016,Food,failed,2415562.56,898.6467857,206295829.3,76746.96031,2688,27907
2016,Food,successful,16577690.21,20567.85386,9614694.27,11928.90108,806,174877
2016,Games,canceled,4397314.56,3351.611707,125833347,95909.56325,1312,76131
2016,Games,failed,4794877.71,1602.030641,252315774.5,84301.96275,2993,101232
2016,Games,successful,124474698.4,48134.06745,31408596.81,12145.62908,2586,1898400
2016,Journalism,canceled,22342.05,214.8274038,4966620.25,47755.96394,104,469
2016,Journalism,failed,472202.78,789.6367559,36284978.71,60677.22192,598,6091
2016,Journalism,successful,1981005.49,13385.17223,1642295.45,11096.59088,148,27495
2016,Music,canceled,159994.12,353.1879029,19195741.38,42374.70503,453,2724
2016,Music,failed,1373694.52,517.204262,135196769.1,50902.39799,2656,19490
2016,Music,successful,20590917.7,8572.405371,15334358.56,6383.99607,2402,265535
2016,Photography,canceled,76575.12,520.9191837,2057452.3,13996.27415,147,1006
2016,Photography,failed,628568.75,851.7191734,18759581.91,25419.48768,738,6604
2016,Photography,successful,6275271.39,13437.41197,3382505.9,7243.053319,467,55787
2016,Publishing,canceled,270511.53,444.9202796,151451494.1,249097.8521,608,4609
2016,Publishing,failed,2047291.57,640.5793398,69845911.47,21854.16504,3196,32625
2016,Publishing,successful,20508154.49,10943.51894,11894347.62,6347.03715,1874,340227
2016,Technology,canceled,6292968.01,5789.298997,101453525.7,93333.51032,1087,39487
2016,Technology,failed,9673381.45,2109.788757,531007288.3,115814.0214,4585,78289
2016,Technology,successful,137614592.7,105049.3074,35292874.44,26941.12553,1310,1021533
2016,Theater,canceled,118833.38,1449.187561,6451707.01,78679.35378,82,847
2016,Theater,failed,313462.27,797.6139186,41183658.76,104793.0248,393,3275
2016,Theater,successful,4584178.14,6801.451246,3944205.8,5851.937389,674,49993
2017,Art,canceled,173876.89,546.782673,12323942.47,38754.53607,318,2723
2017,Art,failed,847935.33,449.3562957,233501495.4,123742.1809,1887,13618
2017,Art,successful,15190663.75,8715.240247,6739393.05,3866.547935,1743,215082
2017,Comics,canceled,86770.43,667.4648462,1034964.18,7961.262923,130,2112
2017,Comics,failed,557623.15,940.3425801,5697239.51,9607.486526,593,13985
2017,Comics,successful,11702223.57,9214.349268,6040537.67,4756.328874,1270,256736
2017,Crafts,canceled,71991.84,473.6305263,1565822.78,10301.46566,152,963
2017,Crafts,failed,487947.17,499.9458709,9766126.84,10006.2775,976,6030
2017,Crafts,successful,2458723.54,5868.075274,1309737.12,3125.864248,419,38327
2017,Dance,canceled,9663.33,402.63875,298634.16,12443.09,24,80
